stage,date,team_1,ft,team_2
Group,9 Dec 2015,Dinamo Zagreb,0-2,Bayern München
Group,9 Dec 2015,Dinamo Kiev,1-0,Maccabi Tel Aviv
Group,9 Dec 2015,Chelsea FC,2-0,FC Porto
Group,9 Dec 2015,KAA Gent,2-1,Zenit St. Petersburg
Group,9 Dec 2015,Valencia CF,0-2,Olympique Lyon
Knockout,26 Apr 2016,Manchester City FC,0-0,Real Madrid CF
Knockout,27 Apr 2016,Atletico Madrid,1-0,Bayern München
Knockout,3 May 2016,Bayern München,2-1,Atletico Madrid
Knockout,4 May 2016,Real Madrid CF,1-0,Manchester City FC
Knockout,28 May 2016,Real Madrid CF,1-1,Atletico Madrid
