stage,date,team_1,ft,team_2
Group,15 Sep 2015,Paris Saint-Germain,2-0,Malmo FF
Group,15 Sep 2015,Real Madrid CF,4-0,Shakhtar Donetsk
Group,15 Sep 2015,VfL Wolfsburg,1-0,CSKA Moskva
Group,15 Sep 2015,PSV Eindhoven,2-1,Manchester United FC
Group,15 Sep 2015,SL Benfica,2-0,Astana
Group,15 Sep 2015,Galatasaray İstanbul AŞ,0-2,Atletico Madrid
Group,15 Sep 2015,Manchester City FC,1-2,Juventus
Group,15 Sep 2015,Sevilla FC,3-0,Borussia Monchengladbach
Group,16 Sep 2015,AS Roma,1-1,FC Barcelona
Group,16 Sep 2015,Bayer 04 Leverkusen,4-1,BATE Borisov
Group,16 Sep 2015,Dinamo Zagreb,2-1,Arsenal FC
Group,16 Sep 2015,Olympiacos,0-3,Bayern München
Group,16 Sep 2015,Dinamo Kiev,2-2,FC Porto
Group,16 Sep 2015,Chelsea FC,4-0,Maccabi Tel Aviv
Group,16 Sep 2015,Valencia CF,2-3,Zenit St. Petersburg
Group,16 Sep 2015,KAA Gent,1-1,Olympique Lyon
Group,29 Sep 2015,FC Barcelona,2-1,Bayer 04 Leverkusen
Group,29 Sep 2015,BATE Borisov,3-2,AS Roma
Group,29 Sep 2015,Bayern München,5-0,Dinamo Zagreb
Group,29 Sep 2015,Arsenal FC,2-3,Olympiacos
Group,29 Sep 2015,FC Porto,2-1,Chelsea FC
Group,29 Sep 2015,Maccabi Tel Aviv,0-2,Dinamo Kiev
Group,29 Sep 2015,Zenit St. Petersburg,2-1,KAA Gent
Group,29 Sep 2015,Olympique Lyon,0-1,Valencia CF
Group,30 Sep 2015,Malmo FF,0-2,Real Madrid CF
Group,30 Sep 2015,Shakhtar Donetsk,0-3,Paris Saint-Germain
Group,30 Sep 2015,CSKA Moskva,3-2,PSV Eindhoven
Group,30 Sep 2015,Manchester United FC,2-1,VfL Wolfsburg
Group,30 Sep 2015,Atletico Madrid,1-2,SL Benfica
Group,30 Sep 2015,Astana,2-2,Galatasaray İstanbul AŞ
Group,30 Sep 2015,Juventus,2-0,Sevilla FC
Group,30 Sep 2015,Borussia Monchengladbach,1-2,Manchester City FC
Group,20 Oct 2015,Bayer 04 Leverkusen,4-4,AS Roma
