imdb_id,title,year,rating
tt8948790,Jersey,2019,8.5
tt0052618,Ben-Hur,1959,8.1
tt0091251,Come and See,1985,8.4
tt0066580,Woodstock,1970,8.1
tt0070233,Ivan Vasilyevich Changes His Profession,1973,8.2
tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,8.4
tt0405094,The Lives of Others,2006,8.4
tt0116282,Fargo,1996,8.1
tt0363163,Downfall,2004,8.2
tt0046912,Dial M for Murder,1954,8.2
tt11032374,Demon Slayer the Movie: Mugen Train,2020,8.2
tt5867800,Aruvi,2016,8.4
tt0770802,Samsara,2011,8.4
tt8413338,Kumbalangi Nights,2019,8.5
tt0071411,Dersu Uzala,1975,8.2
tt6966692,Green Book,2018,8.2
tt0052357,Vertigo,1958,8.3
tt0077838,The Last Waltz,1978,8.1
tt4679210,Premam,2015,8.3
tt0114369,Se7en,1995,8.6
